ID Pedido,Fecha Pedido,Fecha Envío,Modo Envío,Cliente,Segmento,Ciudad,Estado,Region,Categoria,Subcategoria,Producto,Ventas,Año,Mes
CA-2017-152156,2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2017,11
CA-2017-152156,2017-11-08,2017-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,2017,11
CA-2017-138688,2017-06-12,2017-06-16,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2017,6
US-2016-108966,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,2016,10
US-2016-108966,2016-10-11,2016-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2016,10
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,Newell 322,7.28,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,2015,6
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,911.424,2015,6
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,Xerox 1967,15.552,2018,4
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,2017,12
US-2016-118983,2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,2016,11
US-2016-118983,2016-11-22,2016-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,2016,11
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,2015,11
CA-2015-167164,2015-05-13,2015-05-15,Second Class,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2015,5
CA-2015-143336,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,Newell 341,8.56,2015,8
CA-2015-143336,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,2015,8
CA-2015-143336,2015-08-27,2015-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,2015,8
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,Newell 318,19.46,2017,12
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,2017,12
US-2018-156909,2018-07-16,2018-07-18,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2018,7
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,2016,9
CA-2017-121755,2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2017,1
CA-2017-121755,2017-01-16,2017-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,2017,1
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,2016,9
US-2016-150630,2016-09-17,2016-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2016,9
CA-2018-107727,2018-10-19,2018-10-23,Second Class,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,Easy-staple paper,29.472,2018,10
CA-2017-117590,2017-12-08,2017-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,2017,12
CA-2017-117590,2017-12-08,2017-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,2017,12
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,2016,12
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,2016,12
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,2016,12
CA-2016-117415,2016-12-27,2016-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,2016,12
CA-2018-120999,2018-09-10,2018-09-15,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,2018,9
CA-2017-101343,2017-07-17,2017-07-22,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2017,7
CA-2018-139619,2018-09-19,2018-09-23,Standard Class,Erin Smith,Corporate,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2018,9
CA-2017-118255,2017-03-11,2017-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2017,3
CA-2017-118255,2017-03-11,2017-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2017,3
CA-2015-146703,2015-10-20,2015-10-25,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,2015,10
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,2017,6
CA-2017-169194,2017-06-20,2017-06-25,Standard Class,Lena Hernandez,Consumer,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2017,6
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,2016,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,2016,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2016,4
CA-2016-115742,2016-04-18,2016-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2016,4
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017,12
CA-2017-105816,2017-12-11,2017-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017,12
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,2017,6
CA-2017-111682,2017-06-17,2017-06-18,First Class,Ted Butterfield,Consumer,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,6
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2016,11
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,11
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,2016,11
CA-2016-135545,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Consumer,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,11
US-2016-164175,2016-04-30,2016-05-05,Standard Class,Paul Stevenson,Home Office,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,2016,4
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,2015,12
CA-2015-106376,2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Corporate,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,2015,12
CA-2017-119823,2017-06-04,2017-06-06,First Class,Karen Daniels,Consumer,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2017,6
CA-2017-106075,2017-09-18,2017-09-23,Standard Class,Henry MacAllister,Consumer,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,2017,9
CA-2018-114440,2018-09-14,2018-09-17,Second Class,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,2018,9
US-2016-134026,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,2016,4
US-2016-134026,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,4
US-2016-134026,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,2016,4
US-2018-118038,2018-12-09,2018-12-11,First Class,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,2018,12
